police_station,location,violations
HAL Old Airport,"Yemalur Road, NCC Nagarjuna Green Woods, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",19
HAL Old Airport,"3rd Cross Road, Sradha Brindavan, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",18
HAL Old Airport,"Service Road, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",18
HAL Old Airport,"Yemalur Road, Divyasree Technopolis, 77 Town Centre, Yemlur, Bengaluru, Karnataka. Pin-560037 (India)",18
HAL Old Airport,"2nd Cross Road, Krishna Brookfields, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",17
HAL Old Airport,"HAL Airport Road, Maruthi Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",17
HAL Old Airport,"Industrial Park Road, RMZ NXT, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",17
HAL Old Airport,"New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",17
HAL Old Airport,"Outer Ring Road, Central Avenue, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",17
HAL Old Airport,"Sai Pg Road, Pebble Creek, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",17
HAL Old Airport,"Silver Springs Layout Road, Purva Riviera, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",17
HAL Old Airport,"Doddakannelli Road, Adithi Elite, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",16
HAL Old Airport,"Doddakannelli Road, Sandeep Square, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",16
HAL Old Airport,"New Horizon College of Engineering, Service Road, Kariyammana Agrahara, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",16
HAL Old Airport,"1st Main Road, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",15
HAL Old Airport,"1st Main Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",15
HAL Old Airport,"1st Main Road, Prakash Pride Apartment, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",15
HAL Old Airport,"2nd Cross Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",15
HAL Old Airport,"4th Cross Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",15
HAL Old Airport,"60 Feet Road, Kundanahalli Gate Junction, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",15
HAL Old Airport,"6th Main Road, DSR Spring Beauty Apartment, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",15
HAL Old Airport,"1st Cross Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",14
HAL Old Airport,"HAL Airport Road, Sanjay Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",14
HAL Old Airport,"1st Cross Road, Maruthi Emerald, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",13
HAL Old Airport,"Embassy Tech Square Main Road, Embassy Tech Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",13
HAL Old Airport,"Kadubeesanahalli Underpass, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",13
HAL Old Airport,"Yemalur Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",13
HAL Old Airport,"1st Cross Road, MS Reddy Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"1st Main Road, Vijetha Lapis Lazati, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"2nd Cross Road, Eldorado Apartment, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"2nd Cross Road, Sriram Spurthi Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"2nd Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"HAL Airport Road, Doddanekundi Circle, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12
HAL Old Airport,"2nd Main Road, MS Reddy Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",11
HAL Old Airport,"Bright Smiles Family dental Care, 87, Panathur Main Road, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560087, India",11
HAL Old Airport,"Doddakannelli Road, Mayfair Anthem, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",11
HAL Old Airport,"Doddanekundi Main Road, Dr APJ Abdul Kalam Enclave, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",11
HAL Old Airport,"HAL Airport Road, Purva Riviera, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",11
HAL Old Airport,"I Life Road, Aurbis Business Park, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",11
HAL Old Airport,"Industrial Park Road, Le Terrace, Hoodi, Bengaluru, Karnataka. Pin-560048 (India)",11
HAL Old Airport,"Outer Ring Road, Sai Arcade, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",11
HAL Old Airport,"Wells Fargo, New Horizon College Road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",11
HAL Old Airport,"Yemalur Road, 77.com, 77 Town Centre, Yemlur, Bengaluru, Karnataka. Pin-560037 (India)",11
HAL Old Airport,"1st Cross Road, Mariyappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",10
HAL Old Airport,"60 Feet Road, Periwinkle Residency Block D, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",10
HAL Old Airport,"Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",10
HAL Old Airport,"Doddakannelli Road, Dr BR Ambedkar Layout, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",10
HAL Old Airport,"HAL Airport Road, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",10
HAL Old Airport,"ITPL Main Road, Knightsbridge, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",10
HAL Old Airport,"ITPL Main Road, Krishna Brookfields, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",10
HAL Old Airport,"Panathur Main Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",10
HAL Old Airport,"Wells Fargo, Service Road, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",10
HAL Old Airport,"1st Cross Road, Sradha Brindavan, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",9
HAL Old Airport,"2nd Cross Road, Sradha Brindavan, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",9
HAL Old Airport,"BSR Paradise Road, Cessna Business Park, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",9
HAL Old Airport,"Doddakannelli Road, Bhavya Pristine, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",9
HAL Old Airport,"Doddakannelli Road, Prestige Sunnyside ELM, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",9
HAL Old Airport,"HAL Airport Road, Kundanahalli Gate Junction, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",9
HAL Old Airport,"LSI Entrance Road, RMZ Ecospace Business Park, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",9
HAL Old Airport,"New Horizon College Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",9
HAL Old Airport,"Outer Ring Road, Anantha Ram Reddy Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",9
HAL Old Airport,"Traffic Police Cabin, Varthur Road, Marathahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",9
HAL Old Airport,"Varthur Road, Marathahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",9
HAL Old Airport,"West Parallel Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",9
HAL Old Airport,"1st Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",8
HAL Old Airport,"3rd Main Road, Kethana Eternal Blossom, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8
HAL Old Airport,"5th Cross Road, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",8
HAL Old Airport,"Doddakannelli Road, Qube Software Park, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",8
HAL Old Airport,"HAL Airport Road, Paramount Raghavendra Apartment, Silver Spring Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",8
HAL Old Airport,"Outer Ring Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",8
HAL Old Airport,"Outer Ring Road, Prestige Tech Platina, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8
HAL Old Airport,"Panathur Main Road, Aakruthi Sunshine, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8
HAL Old Airport,"Panathur Main Road, Dwaramai Jupiter, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8
HAL Old Airport,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",8
HAL Old Airport,"Service Road, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",8
HAL Old Airport,"Wells Fargo, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",8
HAL Old Airport,"3rd Cross Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"3rd Main Road, Krishvi Gavaakshi, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",7
HAL Old Airport,"4th Cross Road, Chinnappana Halli Extension, Chinnappanahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"4th Main Road, MS Ramaiah Silicon Field Apartment, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"5th Cross Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"60 Feet Main Road, Pebble Creek, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"7th Cross Road, Sattva Knowledge Court, Kundalhalli, Bengaluru, Karnataka. Pin-560048 (India)",7
HAL Old Airport,"Cessna Business Park, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",7
HAL Old Airport,"HAL Airport Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"HAL Airport Road, SP Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"I Life Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",7
HAL Old Airport,"ITPL Main Road, Balaji Sapthagiri Apartment, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"ITPL Main Road, Lakshminarayana Pura, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"ITPL Main Road, Sattva Knowledge Court, Kundalhalli, Bengaluru, Karnataka. Pin-560048 (India)",7
HAL Old Airport,"New Horizon College of Engineering, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",7
HAL Old Airport,"Outer Ring Road, Shopper Junction, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",7
HAL Old Airport,"10th Cross Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",6
HAL Old Airport,"3rd Main Road, Skanda Sky, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",6
HAL Old Airport,"60 Feet Main Road, Block A, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",6
HAL Old Airport,"Devarabeesanahalli Flyover, Outer Ring Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",6
HAL Old Airport,"HAL Airport Road, Satko Palm Trees, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",6
HAL Old Airport,"HAL Airport Road, Shikharam, Silver Spring Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",6
HAL Old Airport,"Kadubeesanahalli Underpass, Capgemini, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",6
HAL Old Airport,"Outer Ring Road, Novotel Tech Park, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",6
HAL Old Airport,"RMP Road, Prestige Sunnyside Oak, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",6
HAL Old Airport,"Service Road, Marathahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",6
HAL Old Airport,"Sri Chowdeshwari Temple Road, NTR Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",6
HAL Old Airport,"11th Cross Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"1st Cross Road, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"1st Main Road, Hemant Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"7th Cross Road, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"8th Cross Road, Sterling Brook Side Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"Bellandur Doddakannelli Road, Adarsh Palm Retreat Lake Front, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",5
HAL Old Airport,"Bhoganahalli Main Road, Subbanna Apartment, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",5
HAL Old Airport,"Canara Bank, Service Road, Ananda Nagara, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",5
HAL Old Airport,"Devarabisanahalli Road, KK Gardens, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"Embassy Tech Square Main Road, Umiya Business Bay, Cessna Business Park, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"ICICI Bank, 1st Main Road, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",5
HAL Old Airport,"ITPL Main Road, Gopalan Millennium Tower, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"Kadubeesanahalli Underpass, Durga Coral Apartment, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"LSI Entrance Road, Sterling Ascentia, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"Marathahalli Underpass, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",5
HAL Old Airport,"Marthalli Ring Road, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",5
HAL Old Airport,"RMZ Ecospace Internal Road, RMZ Ecospace Business Park, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"Ramesh Nagar Main Road, HAL Industrial Area, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"Sai Baba Temple Road, Kundanahalli Gate Junction, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",5
HAL Old Airport,"Service Road, Ananda Nagara, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",5
HAL Old Airport,"Unnamed Road, Sraddha Palmera, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",5
HAL Old Airport,"1st Main Road, Ashwath Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",4
HAL Old Airport,"1st Main Road, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"4th B Main Road, Sradha Brindavan, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"4th Main Road, Krishna Brookfields, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"6th Cross Road, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"9th Cross Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"Akme Encore Pereipheral Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"CDP Road, Prestige Sunnyside Oak, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"Derma Solutions, 92/6, Service Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",4
HAL Old Airport,"Doddakannelli Road, Ambedkar Circle, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"Embassy Tech Square Main Road, Cessna Business Park, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"Gear School road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",4
HAL Old Airport,"Gunjur Road, Aisshwarya Serenity, Lakshmi Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"HAL Airport Road, Govindam Meghna Homes, Silver Spring Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",4
HAL Old Airport,"Kundalahalli Main Road, Green Domain Layout, EPIP Zone, Bharath Aikya Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",4
HAL Old Airport,"Main Road, Vaswani Presidio, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"Marathahalli Underpass, MSR Tech Zone, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"Outer Ring Road, Roshni Tech Hub, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"Sai Baba Temple Road, Vaswani Tranquil, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",4
HAL Old Airport,"Service Road, Kariyammana Agrahara, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",4
HAL Old Airport,"ValueLabs, 3rd floor, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",4
HAL Old Airport,"Yemalur Road, Savirak Enclave, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",4
HAL Old Airport,"Yo China, 90/3, Service Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560034, India",4
HAL Old Airport,"10th Cross Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"11th Cross Road, Phase 2, Ramesh Nagar, Vimanapura, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"1st Main Road, Sri Manjunatha Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"2nd Cross Road, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"2nd Cross Road, Nagappa Reddy Layout, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"2nd Main Road, Prakash Pride Apartment, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"3rd Main Road, Kaverappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"4th Cross Road, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"6th Cross Road, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"6th Main Road, Nagappa Reddy Layout, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"Bellandur Doddakannelli Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"Bellandur Doddakannelli Road, Vars Parkwood, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"Bhoganahalli Main Road, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",3
HAL Old Airport,"Cisco, BGL17 Exit, Cessna Business Park, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3
HAL Old Airport,"Devarabisanahalli Road, Sterling Ascentia, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"Dr. B. R. Ambedkar Road, Vimanapura, Jagadish Nagar, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India",3
HAL Old Airport,"HAL Airport Road, HAL Industrial Area, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"HAL Airport Road, NTR Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"HAL Airport Road, Police Quarter, Sector 3, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"ITPL Main Road, Dikshith Enclave Block E, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"ITPL Main Road, Keerthi Flora Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"Kadubeesanahalli Underpass, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",3
HAL Old Airport,"Kundalahalli Cross Road Number 1, Knightsbridge, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"Mia by Tanishq, Service Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",3
HAL Old Airport,"New Horizon College Road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3
HAL Old Airport,"Panathur Main Road, Kaverappa Layout, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3
HAL Old Airport,"Ramesh Nagar Main Road, Phase 2, Ramesh Nagar, Vimanapura, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"SLN Building, 5/1, Gear School road, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3
HAL Old Airport,"Sgraph Infotech, 90/4 Above ICICI Bank 3rd Floor, Outer Ring Road, MSR Layout, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",3
HAL Old Airport,"Yemalur Road, Purva Bellandur, Yemlur, Bengaluru, Karnataka. Pin-560037 (India)",3
HAL Old Airport,"Yulu, New Horizon College Road, Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",3
HAL Old Airport,"10th Cross Road, Hemant Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"11th Cross Road, Prestige Technostar, Industrial Area Phase 1, Doddanekundi, Bengaluru, Karnataka. Pin-560048 (India)",2
HAL Old Airport,"1st Cross Road, SP Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"1st Main Road, SLS Serenity Apartment, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",2
HAL Old Airport,"1st Main Road, Shopper Junction, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"1st Main Road, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",2
HAL Old Airport,"2nd Cross Road, Pranavah Springs, Chennappa Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"2nd Main Road, Bagmane Solarium City, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"2nd Main Road, Kaverappa Layout, Kaadubeesanahalli, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",2
HAL Old Airport,"2nd Main Road, SJR Spencer, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"3rd Cross Road, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"3rd Cross Road, Doddanekundi Circle, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"3rd Cross Road, TNR Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"3rd Main Road, Kanthamma Narayana Swamy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",2
HAL Old Airport,"3rd Main Road, Vinayak Nagar, Vimanapura, Bengaluru, Karnataka. Pin-560017 (India)",2
HAL Old Airport,"4th Cross Road, Doddanekundi Circle, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",2
HAL Old Airport,"4th Main Road, Maruthi Emerald, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",2
